inputs=207 keys=351 outputs=108 gates=3877
iteration: 1; vars: 20374; clauses: 11053; decisions: 10423
iteration: 2; vars: 26754; clauses: 20211; decisions: 14104
iteration: 3; vars: 33134; clauses: 29659; decisions: 15003
iteration: 4; vars: 39514; clauses: 18552; decisions: 29256
iteration: 5; vars: 45894; clauses: 31380; decisions: 37722
iteration: 6; vars: 52274; clauses: 41764; decisions: 55223
iteration: 7; vars: 58654; clauses: 52060; decisions: 66666
iteration: 8; vars: 65034; clauses: 26414; decisions: 84098
iteration: 9; vars: 71414; clauses: 39164; decisions: 91764
iteration: 10; vars: 77794; clauses: 51894; decisions: 97179
iteration: 11; vars: 84174; clauses: 64512; decisions: 102089
iteration: 12; vars: 90554; clauses: 77140; decisions: 109886
iteration: 13; vars: 96934; clauses: 36799; decisions: 119440
iteration: 14; vars: 103314; clauses: 45155; decisions: 127778
iteration: 15; vars: 109694; clauses: 53523; decisions: 138661
iteration: 16; vars: 116074; clauses: 66237; decisions: 141277
iteration: 17; vars: 122454; clauses: 78923; decisions: 144750
iteration: 18; vars: 128834; clauses: 91445; decisions: 150792
iteration: 19; vars: 135214; clauses: 49686; decisions: 158754
iteration: 20; vars: 141594; clauses: 62868; decisions: 159739
iteration: 21; vars: 147974; clauses: 75954; decisions: 161000
iteration: 22; vars: 154354; clauses: 88576; decisions: 175373
iteration: 23; vars: 160734; clauses: 101524; decisions: 177460
iteration: 24; vars: 167114; clauses: 114452; decisions: 179768
iteration: 25; vars: 173494; clauses: 127492; decisions: 190642
iteration: 26; vars: 179874; clauses: 140312; decisions: 196160
iteration: 27; vars: 186254; clauses: 66339; decisions: 207362
iteration: 28; vars: 192634; clauses: 79251; decisions: 210216
iteration: 29; vars: 199014; clauses: 92083; decisions: 212158
iteration: 30; vars: 205394; clauses: 105015; decisions: 214204
iteration: 31; vars: 211774; clauses: 117895; decisions: 216197
iteration: 32; vars: 218154; clauses: 130815; decisions: 218202
iteration: 33; vars: 224534; clauses: 143695; decisions: 224533
iteration: 34; vars: 230914; clauses: 156923; decisions: 225707
iteration: 35; vars: 237294; clauses: 169965; decisions: 226846
iteration: 36; vars: 243674; clauses: 183005; decisions: 227982
iteration: 37; vars: 250054; clauses: 88328; decisions: 240438
iteration: 38; vars: 256434; clauses: 101014; decisions: 245060
iteration: 39; vars: 262814; clauses: 114044; decisions: 251796
iteration: 40; vars: 269194; clauses: 126800; decisions: 255546
iteration: 41; vars: 275574; clauses: 139556; decisions: 258983
iteration: 42; vars: 281954; clauses: 152658; decisions: 261052
iteration: 43; vars: 288334; clauses: 165776; decisions: 277262
iteration: 44; vars: 294714; clauses: 178578; decisions: 283115
iteration: 45; vars: 301094; clauses: 191594; decisions: 295038
iteration: 46; vars: 307474; clauses: 205240; decisions: 299016
iteration: 47; vars: 313854; clauses: 218720; decisions: 301412
iteration: 48; vars: 320234; clauses: 232098; decisions: 310813
iteration: 49; vars: 326614; clauses: 245536; decisions: 313477
iteration: 50; vars: 332994; clauses: 117888; decisions: 324663
iteration: 51; vars: 339374; clauses: 128866; decisions: 363925
iteration: 52; vars: 345754; clauses: 137970; decisions: 365730
iteration: 53; vars: 352134; clauses: 147068; decisions: 368294
iteration: 54; vars: 358514; clauses: 156160; decisions: 578294
iteration: 55; vars: 364894; clauses: 166114; decisions: 579233
iteration: 56; vars: 371274; clauses: 176316; decisions: 581380
iteration: 57; vars: 377654; clauses: 189826; decisions: 582287
iteration: 58; vars: 384034; clauses: 203333; decisions: 681275
iteration: 59; vars: 390414; clauses: 215663; decisions: 684158
iteration: 60; vars: 396794; clauses: 227703; decisions: 796474
iteration: 61; vars: 403174; clauses: 237803; decisions: 843130
iteration: 62; vars: 409554; clauses: 247410; decisions: 906031
iteration: 63; vars: 415934; clauses: 134869; decisions: 1009831
