inputs=75 keys=1149 outputs=16 gates=3472
iteration: 1; vars: 21474; clauses: 33975; decisions: 81049
iteration: 2; vars: 27824; clauses: 53239; decisions: 189138
iteration: 3; vars: 34174; clauses: 54738; decisions: 809330
iteration: 4; vars: 40524; clauses: 73340; decisions: 1237124
iteration: 5; vars: 46874; clauses: 75046; decisions: 1819901
iteration: 6; vars: 53224; clauses: 85028; decisions: 2251996
iteration: 7; vars: 59574; clauses: 93901; decisions: 4850640
iteration: 8; vars: 65924; clauses: 103182; decisions: 9236922
iteration: 9; vars: 72274; clauses: 113398; decisions: 14357070
iteration: 10; vars: 78624; clauses: 132090; decisions: 16483265
iteration: 11; vars: 84974; clauses: 150716; decisions: 21707990
iteration: 12; vars: 91324; clauses: 142957; decisions: 31789746
iteration: 13; vars: 97674; clauses: 161859; decisions: 40624527
iteration: 14; vars: 104024; clauses: 162042; decisions: 62315393
iteration: 15; vars: 110374; clauses: 170845; decisions: 73632096
iteration: 16; vars: 116724; clauses: 189867; decisions: 79783030
iteration: 17; vars: 123074; clauses: 190010; decisions: 111128586
iteration: 18; vars: 129424; clauses: 199024; decisions: 159145011
iteration: 19; vars: 135774; clauses: 208042; decisions: 179945597
iteration: 20; vars: 142124; clauses: 210351; decisions: 231954404
iteration: 21; vars: 148474; clauses: 182371; decisions: 310317430
iteration: 22; vars: 154824; clauses: 201141; decisions: 310328688
iteration: 23; vars: 161174; clauses: 195659; decisions: 354912690
iteration: 24; vars: 167524; clauses: 205071; decisions: 372906856
iteration: 25; vars: 173874; clauses: 215147; decisions: 382742415
iteration: 26; vars: 180224; clauses: 205954; decisions: 465793049
iteration: 27; vars: 186574; clauses: 215844; decisions: 467296010
