inputs=10 keys=253 outputs=10 gates=5326
iteration: 1; vars: 32157; clauses: 24156; decisions: 1033
iteration: 2; vars: 42693; clauses: 51676; decisions: 3815
iteration: 3; vars: 53229; clauses: 12767; decisions: 6327
iteration: 4; vars: 63765; clauses: 40267; decisions: 9193
iteration: 5; vars: 74301; clauses: 67767; decisions: 12973
iteration: 6; vars: 84837; clauses: 13937; decisions: 16745
iteration: 7; vars: 95373; clauses: 41436; decisions: 20299
iteration: 8; vars: 105909; clauses: 68936; decisions: 26276
iteration: 9; vars: 116445; clauses: 96436; decisions: 27815
iteration: 10; vars: 126981; clauses: 15540; decisions: 35119
iteration: 11; vars: 137517; clauses: 43036; decisions: 47418
iteration: 12; vars: 148053; clauses: 70532; decisions: 54459
iteration: 13; vars: 158589; clauses: 98028; decisions: 58035
iteration: 14; vars: 169125; clauses: 16376; decisions: 81536
iteration: 15; vars: 179661; clauses: 43870; decisions: 92990
iteration: 16; vars: 190197; clauses: 71364; decisions: 99352
iteration: 17; vars: 200733; clauses: 98856; decisions: 108695
iteration: 18; vars: 211269; clauses: 17671; decisions: 115485
iteration: 19; vars: 221805; clauses: 45163; decisions: 117000
iteration: 20; vars: 232341; clauses: 72655; decisions: 126697
iteration: 21; vars: 242877; clauses: 100146; decisions: 155569
iteration: 22; vars: 253413; clauses: 17538; decisions: 166867
iteration: 23; vars: 263949; clauses: 45021; decisions: 188522
iteration: 24; vars: 274485; clauses: 72505; decisions: 203869
iteration: 25; vars: 285021; clauses: 99989; decisions: 216334
iteration: 26; vars: 295557; clauses: 18421; decisions: 225439
iteration: 27; vars: 306093; clauses: 45902; decisions: 250133
iteration: 28; vars: 316629; clauses: 73386; decisions: 279550
iteration: 29; vars: 327165; clauses: 100870; decisions: 311369
iteration: 30; vars: 337701; clauses: 18569; decisions: 325489
iteration: 31; vars: 348237; clauses: 46048; decisions: 337797
iteration: 32; vars: 358773; clauses: 73528; decisions: 345957
iteration: 33; vars: 369309; clauses: 101008; decisions: 353739
iteration: 34; vars: 379845; clauses: 18561; decisions: 363370
iteration: 35; vars: 390381; clauses: 46029; decisions: 370401
iteration: 36; vars: 400917; clauses: 73492; decisions: 375518
iteration: 37; vars: 411453; clauses: 100948; decisions: 382911
iteration: 38; vars: 421989; clauses: 15961; decisions: 401856
iteration: 39; vars: 432525; clauses: 43409; decisions: 402929
iteration: 40; vars: 443061; clauses: 70856; decisions: 410524
iteration: 41; vars: 453597; clauses: 98303; decisions: 419235
iteration: 42; vars: 464133; clauses: 13439; decisions: 426154
iteration: 43; vars: 474669; clauses: 40875; decisions: 433120
iteration: 44; vars: 485205; clauses: 68307; decisions: 441475
iteration: 45; vars: 495741; clauses: 12625; decisions: 447403
iteration: 46; vars: 506277; clauses: 40054; decisions: 452024
iteration: 47; vars: 516813; clauses: 67484; decisions: 458777
iteration: 48; vars: 527349; clauses: 12222; decisions: 465109
iteration: 49; vars: 537885; clauses: 39641; decisions: 470694
iteration: 50; vars: 548421; clauses: 67051; decisions: 477873
iteration: 51; vars: 558957; clauses: 11741; decisions: 481373
iteration: 52; vars: 569493; clauses: 39136; decisions: 493897
iteration: 53; vars: 580029; clauses: 66531; decisions: 497470
iteration: 54; vars: 590565; clauses: 11404; decisions: 502754
iteration: 55; vars: 601101; clauses: 38788; decisions: 508065
iteration: 56; vars: 611637; clauses: 66173; decisions: 522550
iteration: 57; vars: 622173; clauses: 11020; decisions: 526708
iteration: 58; vars: 632709; clauses: 38382; decisions: 528368
iteration: 59; vars: 643245; clauses: 65750; decisions: 530786
iteration: 60; vars: 653781; clauses: 10088; decisions: 531368
iteration: 61; vars: 664317; clauses: 37455; decisions: 540726
iteration: 62; vars: 674853; clauses: 64823; decisions: 544584
iteration: 63; vars: 685389; clauses: 9934; decisions: 545530
iteration: 64; vars: 695925; clauses: 37289; decisions: 547448
iteration: 65; vars: 706461; clauses: 64644; decisions: 548593
iteration: 66; vars: 716997; clauses: 9757; decisions: 551213
iteration: 67; vars: 727533; clauses: 37109; decisions: 552066
iteration: 68; vars: 738069; clauses: 64459; decisions: 560154
iteration: 69; vars: 748605; clauses: 9714; decisions: 561243
iteration: 70; vars: 759141; clauses: 37060; decisions: 562882
iteration: 71; vars: 769677; clauses: 64408; decisions: 563692
iteration: 72; vars: 780213; clauses: 9754; decisions: 564659
iteration: 73; vars: 790749; clauses: 37094; decisions: 570382
iteration: 74; vars: 801285; clauses: 64430; decisions: 574187
iteration: 75; vars: 811821; clauses: 9188; decisions: 575981
iteration: 76; vars: 822357; clauses: 36519; decisions: 581905
iteration: 77; vars: 832893; clauses: 63850; decisions: 588734
iteration: 78; vars: 843429; clauses: 9073; decisions: 589472
iteration: 79; vars: 853965; clauses: 36397; decisions: 590331
iteration: 80; vars: 864501; clauses: 63717; decisions: 593355
iteration: 81; vars: 875037; clauses: 8713; decisions: 593838
iteration: 82; vars: 885573; clauses: 36025; decisions: 598495
iteration: 83; vars: 896109; clauses: 63333; decisions: 603266
iteration: 84; vars: 906645; clauses: 8363; decisions: 605610
finished solver loop. fail_count = 0
key=0000000011011010011100000001001000010000000100010010110110100010001000101000000110001100000000001110010100000000001010000100110100000000001001010001000001110010011001000000000010000010101010101110000001100001100011110000000000000001100010010100010101011
iteration=84; backbones_count=0; cube_count=2344810; cpu_time=10.5375; maxrss=41.9609
