inputs=46 keys=454 outputs=45 gates=2269
iteration: 1; vars: 14172; clauses: 7811; decisions: 15100
iteration: 2; vars: 18532; clauses: 14997; decisions: 46323
iteration: 3; vars: 22892; clauses: 8725; decisions: 66001
iteration: 4; vars: 27252; clauses: 15941; decisions: 73331
iteration: 5; vars: 31612; clauses: 10383; decisions: 107427
iteration: 6; vars: 35972; clauses: 17503; decisions: 114126
iteration: 7; vars: 40332; clauses: 24751; decisions: 152564
iteration: 8; vars: 44692; clauses: 11959; decisions: 197025
iteration: 9; vars: 49052; clauses: 19199; decisions: 213287
iteration: 10; vars: 53412; clauses: 26343; decisions: 268533
iteration: 11; vars: 57772; clauses: 12880; decisions: 324616
iteration: 12; vars: 62132; clauses: 20061; decisions: 346391
iteration: 13; vars: 66492; clauses: 13722; decisions: 348505
iteration: 14; vars: 70852; clauses: 20897; decisions: 407600
iteration: 15; vars: 75212; clauses: 27991; decisions: 423470
iteration: 16; vars: 79572; clauses: 14925; decisions: 451241
iteration: 17; vars: 83932; clauses: 21971; decisions: 472565
iteration: 18; vars: 88292; clauses: 28936; decisions: 514386
iteration: 19; vars: 92652; clauses: 15331; decisions: 528317
iteration: 20; vars: 97012; clauses: 22461; decisions: 538597
iteration: 21; vars: 101372; clauses: 29612; decisions: 579441
iteration: 22; vars: 105732; clauses: 16868; decisions: 607281
iteration: 23; vars: 110092; clauses: 24055; decisions: 610757
iteration: 24; vars: 114452; clauses: 31201; decisions: 623478
iteration: 25; vars: 118812; clauses: 17777; decisions: 633734
iteration: 26; vars: 123172; clauses: 24920; decisions: 651111
iteration: 27; vars: 127532; clauses: 32018; decisions: 669633
iteration: 28; vars: 131892; clauses: 39119; decisions: 729698
iteration: 29; vars: 136252; clauses: 17731; decisions: 751921
iteration: 30; vars: 140612; clauses: 24750; decisions: 761430
iteration: 31; vars: 144972; clauses: 31856; decisions: 787389
iteration: 32; vars: 149332; clauses: 38922; decisions: 805266
iteration: 33; vars: 153692; clauses: 17752; decisions: 832443
iteration: 34; vars: 158052; clauses: 24841; decisions: 859599
iteration: 35; vars: 162412; clauses: 31872; decisions: 878284
iteration: 36; vars: 166772; clauses: 16172; decisions: 897127
iteration: 37; vars: 171132; clauses: 23157; decisions: 903105
iteration: 38; vars: 175492; clauses: 30169; decisions: 907317
iteration: 39; vars: 179852; clauses: 37176; decisions: 924346
iteration: 40; vars: 184212; clauses: 15954; decisions: 939804
iteration: 41; vars: 188572; clauses: 23009; decisions: 965849
iteration: 42; vars: 192932; clauses: 30045; decisions: 977442
iteration: 43; vars: 197292; clauses: 13486; decisions: 987859
