inputs=41 keys=176 outputs=35 gates=3700
iteration: 1; vars: 22245; clauses: 7736; decisions: 1016
iteration: 2; vars: 29493; clauses: 9079; decisions: 2330
iteration: 3; vars: 36741; clauses: 9005; decisions: 3706
iteration: 4; vars: 43989; clauses: 9008; decisions: 4941
iteration: 5; vars: 51237; clauses: 9454; decisions: 6322
iteration: 6; vars: 58485; clauses: 8252; decisions: 9612
iteration: 7; vars: 65733; clauses: 21878; decisions: 12321
iteration: 8; vars: 72981; clauses: 8354; decisions: 13507
iteration: 9; vars: 80229; clauses: 21656; decisions: 15380
iteration: 10; vars: 87477; clauses: 8574; decisions: 18753
iteration: 11; vars: 94725; clauses: 21686; decisions: 21578
iteration: 12; vars: 101973; clauses: 9253; decisions: 23299
iteration: 13; vars: 109221; clauses: 21805; decisions: 25671
iteration: 14; vars: 116469; clauses: 34531; decisions: 28252
iteration: 15; vars: 123717; clauses: 9898; decisions: 29002
iteration: 16; vars: 130965; clauses: 22946; decisions: 33396
iteration: 17; vars: 138213; clauses: 35634; decisions: 38034
iteration: 18; vars: 145461; clauses: 10569; decisions: 42136
iteration: 19; vars: 152709; clauses: 23515; decisions: 50442
iteration: 20; vars: 159957; clauses: 35732; decisions: 56725
iteration: 21; vars: 167205; clauses: 48810; decisions: 63980
iteration: 22; vars: 174453; clauses: 10334; decisions: 66780
iteration: 23; vars: 181701; clauses: 22831; decisions: 72144
iteration: 24; vars: 188949; clauses: 34929; decisions: 74912
iteration: 25; vars: 196197; clauses: 47747; decisions: 76327
iteration: 26; vars: 203445; clauses: 10606; decisions: 80159
iteration: 27; vars: 210693; clauses: 23876; decisions: 82735
iteration: 28; vars: 217941; clauses: 36686; decisions: 84037
iteration: 29; vars: 225189; clauses: 49888; decisions: 88237
iteration: 30; vars: 232437; clauses: 10996; decisions: 91874
iteration: 31; vars: 239685; clauses: 24962; decisions: 93728
iteration: 32; vars: 246933; clauses: 38304; decisions: 104695
iteration: 33; vars: 254181; clauses: 50898; decisions: 111997
iteration: 34; vars: 261429; clauses: 11186; decisions: 119175
iteration: 35; vars: 268677; clauses: 23754; decisions: 122481
iteration: 36; vars: 275925; clauses: 36586; decisions: 125144
iteration: 37; vars: 283173; clauses: 49582; decisions: 133626
iteration: 38; vars: 290421; clauses: 11350; decisions: 143437
iteration: 39; vars: 297669; clauses: 23964; decisions: 151591
iteration: 40; vars: 304917; clauses: 36850; decisions: 155239
iteration: 41; vars: 312165; clauses: 49736; decisions: 161604
iteration: 42; vars: 319413; clauses: 11930; decisions: 169154
iteration: 43; vars: 326661; clauses: 24589; decisions: 172044
iteration: 44; vars: 333909; clauses: 37397; decisions: 197977
iteration: 45; vars: 341157; clauses: 49763; decisions: 215884
iteration: 46; vars: 348405; clauses: 62287; decisions: 223236
iteration: 47; vars: 355653; clauses: 11721; decisions: 226198
iteration: 48; vars: 362901; clauses: 25011; decisions: 228485
iteration: 49; vars: 370149; clauses: 37817; decisions: 232738
iteration: 50; vars: 377397; clauses: 50570; decisions: 246384
iteration: 51; vars: 384645; clauses: 10521; decisions: 251832
iteration: 52; vars: 391893; clauses: 23541; decisions: 259420
iteration: 53; vars: 399141; clauses: 35649; decisions: 261138
iteration: 54; vars: 406389; clauses: 47919; decisions: 265830
iteration: 55; vars: 413637; clauses: 9709; decisions: 266913
iteration: 56; vars: 420885; clauses: 22771; decisions: 272119
iteration: 57; vars: 428133; clauses: 35628; decisions: 281318
iteration: 58; vars: 435381; clauses: 48172; decisions: 288586
iteration: 59; vars: 442629; clauses: 9458; decisions: 292414
iteration: 60; vars: 449877; clauses: 22622; decisions: 295792
iteration: 61; vars: 457125; clauses: 34910; decisions: 310443
iteration: 62; vars: 464373; clauses: 47454; decisions: 315227
iteration: 63; vars: 471621; clauses: 7705; decisions: 321887
iteration: 64; vars: 478869; clauses: 19967; decisions: 325508
iteration: 65; vars: 486117; clauses: 32721; decisions: 332122
iteration: 66; vars: 493365; clauses: 7058; decisions: 333587
iteration: 67; vars: 500613; clauses: 19717; decisions: 337762
iteration: 68; vars: 507861; clauses: 32646; decisions: 343119
iteration: 69; vars: 515109; clauses: 6523; decisions: 345712
iteration: 70; vars: 522357; clauses: 19041; decisions: 348092
iteration: 71; vars: 529605; clauses: 31875; decisions: 349104
iteration: 72; vars: 536853; clauses: 6220; decisions: 350321
iteration: 73; vars: 544101; clauses: 19244; decisions: 353901
finished solver loop. fail_count = 0
key=00000111001100100010000001100001001000000000100010101000100101100000010010000001010000100101010101010101000000000101010110001110000000000101110111100000010001000001000101001100
iteration=73; backbones_count=0; cube_count=1383020; cpu_time=5.67459; maxrss=32.5039
