inputs=256 keys=1618 outputs=245 gates=8121
iteration: 1; vars: 49380; clauses: 44082; decisions: 55319
iteration: 2; vars: 64430; clauses: 77558; decisions: 228427
iteration: 3; vars: 79480; clauses: 60622; decisions: 319491
iteration: 4; vars: 94530; clauses: 93645; decisions: 573400
iteration: 5; vars: 109580; clauses: 74177; decisions: 795976
iteration: 6; vars: 124630; clauses: 78562; decisions: 1079142
iteration: 7; vars: 139680; clauses: 85112; decisions: 1328153
iteration: 8; vars: 154730; clauses: 89319; decisions: 1499949
iteration: 9; vars: 169780; clauses: 88410; decisions: 1662467
iteration: 10; vars: 184830; clauses: 118578; decisions: 1738721
iteration: 11; vars: 199880; clauses: 67643; decisions: 1993402
iteration: 12; vars: 214930; clauses: 34180; decisions: 2054197
iteration: 13; vars: 229980; clauses: 65560; decisions: 2078503
iteration: 14; vars: 245030; clauses: 30139; decisions: 2086138
iteration: 15; vars: 260080; clauses: 60979; decisions: 2101973
iteration: 16; vars: 275130; clauses: 24697; decisions: 2105006
iteration: 17; vars: 290180; clauses: 55239; decisions: 2120001
iteration: 18; vars: 305230; clauses: 20484; decisions: 2122065
iteration: 19; vars: 320280; clauses: 51380; decisions: 2133553
iteration: 20; vars: 335330; clauses: 18976; decisions: 2148338
iteration: 21; vars: 350380; clauses: 49996; decisions: 2157482
iteration: 22; vars: 365430; clauses: 15027; decisions: 2160587
iteration: 23; vars: 380480; clauses: 45303; decisions: 2171743
iteration: 24; vars: 395530; clauses: 15197; decisions: 2192041
iteration: 25; vars: 410580; clauses: 45732; decisions: 2205186
iteration: 26; vars: 425630; clauses: 14094; decisions: 2219693
iteration: 27; vars: 440680; clauses: 43694; decisions: 2223389
iteration: 28; vars: 455730; clauses: 13413; decisions: 2228139
iteration: 29; vars: 470780; clauses: 44413; decisions: 2240752
iteration: 30; vars: 485830; clauses: 12774; decisions: 2246418
iteration: 31; vars: 500880; clauses: 42360; decisions: 2259199
iteration: 32; vars: 515930; clauses: 12434; decisions: 2262505
iteration: 33; vars: 530980; clauses: 41844; decisions: 2270223
iteration: 34; vars: 546030; clauses: 12304; decisions: 2272505
iteration: 35; vars: 561080; clauses: 40304; decisions: 2279311
iteration: 36; vars: 576130; clauses: 12301; decisions: 2281163
iteration: 37; vars: 591180; clauses: 41243; decisions: 2288613
iteration: 38; vars: 606230; clauses: 12008; decisions: 2290297
iteration: 39; vars: 621280; clauses: 40286; decisions: 2292801
iteration: 40; vars: 636330; clauses: 11949; decisions: 2294593
iteration: 41; vars: 651380; clauses: 41929; decisions: 2303906
iteration: 42; vars: 666430; clauses: 11914; decisions: 2305035
iteration: 43; vars: 681480; clauses: 41514; decisions: 2308579
iteration: 44; vars: 696530; clauses: 11898; decisions: 2315685
iteration: 45; vars: 711580; clauses: 40708; decisions: 2325489
iteration: 46; vars: 726630; clauses: 11835; decisions: 2327322
iteration: 47; vars: 741680; clauses: 42387; decisions: 2334032
iteration: 48; vars: 756730; clauses: 11633; decisions: 2335090
iteration: 49; vars: 771780; clauses: 40949; decisions: 2337944
iteration: 50; vars: 786830; clauses: 11380; decisions: 2339204
iteration: 51; vars: 801880; clauses: 41046; decisions: 2345126
iteration: 52; vars: 816930; clauses: 11324; decisions: 2346150
iteration: 53; vars: 831980; clauses: 40650; decisions: 2353490
iteration: 54; vars: 847030; clauses: 11173; decisions: 2356377
iteration: 55; vars: 862080; clauses: 38459; decisions: 2358521
iteration: 56; vars: 877130; clauses: 11086; decisions: 2359515
iteration: 57; vars: 892180; clauses: 39892; decisions: 2373359
iteration: 58; vars: 907230; clauses: 10745; decisions: 2374993
iteration: 59; vars: 922280; clauses: 40057; decisions: 2392338
iteration: 60; vars: 937330; clauses: 10119; decisions: 2430113
iteration: 61; vars: 952380; clauses: 38633; decisions: 2433405
iteration: 62; vars: 967430; clauses: 9706; decisions: 2444713
iteration: 63; vars: 982480; clauses: 37470; decisions: 2452122
iteration: 64; vars: 997530; clauses: 9576; decisions: 2453009
iteration: 65; vars: 1012580; clauses: 38992; decisions: 2460205
iteration: 66; vars: 1027630; clauses: 9524; decisions: 2471523
iteration: 67; vars: 1042680; clauses: 39360; decisions: 2482789
iteration: 68; vars: 1057730; clauses: 9463; decisions: 2488309
iteration: 69; vars: 1072780; clauses: 39419; decisions: 2504446
iteration: 70; vars: 1087830; clauses: 9452; decisions: 2534764
finished solver loop. fail_count = 0
key=1000100101000111011111001101000100101011000010001000001110011010100111001010011011000011010110000111001101110100100011010111100000100111100001000000110000110000001001101101011001111100011100010000010000001110100100000101101101000110100100110000011000010001111010001100100101000010000100001000101011100111001110101111100100001110011000110011001110110010011100000000010101101110111000000100011110000000100000000101010001001011101110000110101010110001010001000110110010111111111000101001100000011010010001111100111010000000010001100000001101110010100110011000001010111000001000011010001001001101111000011111100100010000000011100110001001100110000110101011101111000010000101100011111110100011011001010001111001111101110100000000000111101101000101011011100100010000010110110101000010011010001001101101100110011001111000111101110110010100011101111111011001100101110001000110001011110100100111011100110100010100010100111110101001000100111001000100110000011001010100001010111100101000111101010100010000101101001111011100010010111011010100101000000100100010011010110111110000000101001010011011010011011010101010101100000001010000001001010101011100110001111111010001110101110000011001111001001100110000010111001111000110001000111010000110011100110000100010010111101001111101000101001011000101010001101011010000001000110001010010010000101010000000010010000011011001110010010101111100100001011011010001001000000011101011111001000101010010101010100001110001001001010011000100100101111111011101010010100000100010001001011100110100100000010100100100000011100101011111011000100000000100100000100011111001001110111111001011010101011001
iteration=70; backbones_count=0; cube_count=3021746; cpu_time=52.7162; maxrss=66.2188
