inputs=10 keys=253 outputs=10 gates=5319
iteration: 1; vars: 32001; clauses: 8407; decisions: 980
iteration: 2; vars: 42485; clauses: 8390; decisions: 1945
iteration: 3; vars: 52969; clauses: 8316; decisions: 2919
iteration: 4; vars: 63453; clauses: 8262; decisions: 3406
iteration: 5; vars: 73937; clauses: 8168; decisions: 5265
iteration: 6; vars: 84421; clauses: 8141; decisions: 5691
iteration: 7; vars: 94905; clauses: 8032; decisions: 6119
iteration: 8; vars: 105389; clauses: 7883; decisions: 6499
iteration: 9; vars: 115873; clauses: 7820; decisions: 6864
iteration: 10; vars: 126357; clauses: 7801; decisions: 7217
iteration: 11; vars: 136841; clauses: 7774; decisions: 7562
iteration: 12; vars: 147325; clauses: 7767; decisions: 7901
iteration: 13; vars: 157809; clauses: 7758; decisions: 8758
iteration: 14; vars: 168293; clauses: 7723; decisions: 9330
iteration: 15; vars: 178777; clauses: 13283; decisions: 9673
iteration: 16; vars: 189261; clauses: 7672; decisions: 9994
iteration: 17; vars: 199745; clauses: 13078; decisions: 10631
iteration: 18; vars: 210229; clauses: 7619; decisions: 10936
iteration: 19; vars: 220713; clauses: 12645; decisions: 11251
iteration: 20; vars: 231197; clauses: 7540; decisions: 11552
iteration: 21; vars: 241681; clauses: 12930; decisions: 12454
iteration: 22; vars: 252165; clauses: 7527; decisions: 12747
iteration: 23; vars: 262649; clauses: 12995; decisions: 13197
iteration: 24; vars: 273133; clauses: 7469; decisions: 13482
iteration: 25; vars: 283617; clauses: 13077; decisions: 14877
iteration: 26; vars: 294101; clauses: 7444; decisions: 15149
iteration: 27; vars: 304585; clauses: 12736; decisions: 15458
iteration: 28; vars: 315069; clauses: 7377; decisions: 15763
iteration: 29; vars: 325553; clauses: 12589; decisions: 16711
iteration: 30; vars: 336037; clauses: 7320; decisions: 17047
iteration: 31; vars: 346521; clauses: 12768; decisions: 17319
iteration: 32; vars: 357005; clauses: 7289; decisions: 17614
iteration: 33; vars: 367489; clauses: 12489; decisions: 18115
iteration: 34; vars: 377973; clauses: 7200; decisions: 18375
iteration: 35; vars: 388457; clauses: 12704; decisions: 19009
iteration: 36; vars: 398941; clauses: 7176; decisions: 19227
iteration: 37; vars: 409425; clauses: 12372; decisions: 19440
iteration: 38; vars: 419909; clauses: 7103; decisions: 19698
iteration: 39; vars: 430393; clauses: 12337; decisions: 20063
iteration: 40; vars: 440877; clauses: 7090; decisions: 20263
iteration: 41; vars: 451361; clauses: 12482; decisions: 20729
iteration: 42; vars: 461845; clauses: 7043; decisions: 20905
iteration: 43; vars: 472329; clauses: 12057; decisions: 21646
iteration: 44; vars: 482813; clauses: 7028; decisions: 21875
iteration: 45; vars: 493297; clauses: 12104; decisions: 22051
iteration: 46; vars: 503781; clauses: 7013; decisions: 22276
iteration: 47; vars: 514265; clauses: 12089; decisions: 22799
iteration: 48; vars: 524749; clauses: 6985; decisions: 22959
iteration: 49; vars: 535233; clauses: 11905; decisions: 23398
iteration: 50; vars: 545717; clauses: 6957; decisions: 23565
iteration: 51; vars: 556201; clauses: 12129; decisions: 23873
iteration: 52; vars: 566685; clauses: 17463; decisions: 24304
iteration: 53; vars: 577169; clauses: 6921; decisions: 24459
iteration: 54; vars: 587653; clauses: 12013; decisions: 24900
iteration: 55; vars: 598137; clauses: 6910; decisions: 25068
iteration: 56; vars: 608621; clauses: 12060; decisions: 25957
iteration: 57; vars: 619105; clauses: 17244; decisions: 26148
iteration: 58; vars: 629589; clauses: 6887; decisions: 26319
iteration: 59; vars: 640073; clauses: 11907; decisions: 26610
iteration: 60; vars: 650557; clauses: 17015; decisions: 26897
iteration: 61; vars: 661041; clauses: 6860; decisions: 27018
iteration: 62; vars: 671525; clauses: 11950; decisions: 27377
iteration: 63; vars: 682009; clauses: 16950; decisions: 27516
iteration: 64; vars: 692493; clauses: 6825; decisions: 27653
iteration: 65; vars: 702977; clauses: 11725; decisions: 27886
iteration: 66; vars: 713461; clauses: 16715; decisions: 28176
iteration: 67; vars: 723945; clauses: 6810; decisions: 28281
iteration: 68; vars: 734429; clauses: 11728; decisions: 28523
iteration: 69; vars: 744913; clauses: 16486; decisions: 28652
iteration: 70; vars: 755397; clauses: 6780; decisions: 28785
iteration: 71; vars: 765881; clauses: 11688; decisions: 28908
iteration: 72; vars: 776365; clauses: 16706; decisions: 29205
iteration: 73; vars: 786849; clauses: 6762; decisions: 29319
iteration: 74; vars: 797333; clauses: 11966; decisions: 29646
iteration: 75; vars: 807817; clauses: 17054; decisions: 29743
iteration: 76; vars: 818301; clauses: 22062; decisions: 29963
iteration: 77; vars: 828785; clauses: 6719; decisions: 30075
iteration: 78; vars: 839269; clauses: 11737; decisions: 30316
iteration: 79; vars: 849753; clauses: 17161; decisions: 30576
iteration: 80; vars: 860237; clauses: 22345; decisions: 30672
iteration: 81; vars: 870721; clauses: 6670; decisions: 30766
iteration: 82; vars: 881205; clauses: 11810; decisions: 30993
iteration: 83; vars: 891689; clauses: 16678; decisions: 31092
iteration: 84; vars: 902173; clauses: 21668; decisions: 31201
iteration: 85; vars: 912657; clauses: 26760; decisions: 31501
iteration: 86; vars: 923141; clauses: 6623; decisions: 31631
iteration: 87; vars: 933625; clauses: 11655; decisions: 31835
iteration: 88; vars: 944109; clauses: 16817; decisions: 32046
iteration: 89; vars: 954593; clauses: 22379; decisions: 32125
iteration: 90; vars: 965077; clauses: 27657; decisions: 32217
iteration: 91; vars: 975561; clauses: 6583; decisions: 32273
iteration: 92; vars: 986045; clauses: 10965; decisions: 32912
iteration: 93; vars: 996529; clauses: 16011; decisions: 32965
iteration: 94; vars: 1007013; clauses: 20963; decisions: 33141
iteration: 95; vars: 1017497; clauses: 25917; decisions: 33214
iteration: 96; vars: 1027981; clauses: 30787; decisions: 33442
iteration: 97; vars: 1038465; clauses: 35793; decisions: 33515
iteration: 98; vars: 1048949; clauses: 6549; decisions: 33680
iteration: 99; vars: 1059433; clauses: 11689; decisions: 34685
iteration: 100; vars: 1069917; clauses: 16645; decisions: 35337
iteration: 101; vars: 1080401; clauses: 21501; decisions: 36057
iteration: 102; vars: 1090885; clauses: 26985; decisions: 36177
iteration: 103; vars: 1101369; clauses: 32065; decisions: 36597
iteration: 104; vars: 1111853; clauses: 37033; decisions: 36621
finished solver loop. fail_count = 0
key=1100101111001101100110011001111011111001101011101011110001110011110100011000110011101010011100110111001011011111110010110011111000110101110100011011100101001010110100010001010000010000110101100101110001000101011010010101001010011000010100000010000101011
iteration=104; backbones_count=0; cube_count=2749008; cpu_time=6.30022; maxrss=58.7227
