inputs=41 keys=352 outputs=35 gates=3873
iteration: 1; vars: 23365; clauses: 8510; decisions: 2309
iteration: 2; vars: 30869; clauses: 8464; decisions: 2986
iteration: 3; vars: 38373; clauses: 8536; decisions: 3899
iteration: 4; vars: 45877; clauses: 8648; decisions: 4586
iteration: 5; vars: 53381; clauses: 8774; decisions: 7110
iteration: 6; vars: 60885; clauses: 8719; decisions: 7796
iteration: 7; vars: 68389; clauses: 8430; decisions: 9035
iteration: 8; vars: 75893; clauses: 8282; decisions: 9598
iteration: 9; vars: 83397; clauses: 8243; decisions: 10225
iteration: 10; vars: 90901; clauses: 7988; decisions: 11076
iteration: 11; vars: 98405; clauses: 7915; decisions: 11585
iteration: 12; vars: 105909; clauses: 7749; decisions: 12307
iteration: 13; vars: 113413; clauses: 7513; decisions: 13078
iteration: 14; vars: 120917; clauses: 7387; decisions: 13943
iteration: 15; vars: 128421; clauses: 7160; decisions: 14927
iteration: 16; vars: 135925; clauses: 15100; decisions: 15878
iteration: 17; vars: 143429; clauses: 6982; decisions: 16262
iteration: 18; vars: 150933; clauses: 6823; decisions: 16600
iteration: 19; vars: 158437; clauses: 14797; decisions: 17118
iteration: 20; vars: 165941; clauses: 6624; decisions: 17400
iteration: 21; vars: 173445; clauses: 14653; decisions: 18692
iteration: 22; vars: 180949; clauses: 6407; decisions: 18942
iteration: 23; vars: 188453; clauses: 14277; decisions: 19902
iteration: 24; vars: 195957; clauses: 6387; decisions: 20140
iteration: 25; vars: 203461; clauses: 13525; decisions: 21354
iteration: 26; vars: 210965; clauses: 6382; decisions: 21685
iteration: 27; vars: 218469; clauses: 13550; decisions: 23334
iteration: 28; vars: 225973; clauses: 6328; decisions: 23566
iteration: 29; vars: 233477; clauses: 13566; decisions: 24704
iteration: 30; vars: 240981; clauses: 6246; decisions: 24950
iteration: 31; vars: 248485; clauses: 14374; decisions: 25643
iteration: 32; vars: 255989; clauses: 6183; decisions: 25999
iteration: 33; vars: 263493; clauses: 14229; decisions: 27188
iteration: 34; vars: 270997; clauses: 6116; decisions: 27644
iteration: 35; vars: 278501; clauses: 13818; decisions: 27846
iteration: 36; vars: 286005; clauses: 6047; decisions: 28226
iteration: 37; vars: 293509; clauses: 13867; decisions: 29117
iteration: 38; vars: 301013; clauses: 21517; decisions: 29354
iteration: 39; vars: 308517; clauses: 6017; decisions: 29696
iteration: 40; vars: 316021; clauses: 13223; decisions: 30024
iteration: 41; vars: 323525; clauses: 20323; decisions: 30346
iteration: 42; vars: 331029; clauses: 5960; decisions: 30519
iteration: 43; vars: 338533; clauses: 12518; decisions: 30691
iteration: 44; vars: 346037; clauses: 19574; decisions: 30878
iteration: 45; vars: 353541; clauses: 5921; decisions: 31237
iteration: 46; vars: 361045; clauses: 12273; decisions: 31380
iteration: 47; vars: 368549; clauses: 18521; decisions: 31514
iteration: 48; vars: 376053; clauses: 5886; decisions: 31783
iteration: 49; vars: 383557; clauses: 13114; decisions: 31905
iteration: 50; vars: 391061; clauses: 20150; decisions: 32279
iteration: 51; vars: 398565; clauses: 26992; decisions: 32517
iteration: 52; vars: 406069; clauses: 5839; decisions: 32684
iteration: 53; vars: 413573; clauses: 13277; decisions: 32998
iteration: 54; vars: 421077; clauses: 21089; decisions: 33116
iteration: 55; vars: 428581; clauses: 28967; decisions: 33897
iteration: 56; vars: 436085; clauses: 5762; decisions: 34356
iteration: 57; vars: 443589; clauses: 13676; decisions: 34664
iteration: 58; vars: 451093; clauses: 21408; decisions: 34950
iteration: 59; vars: 458597; clauses: 28882; decisions: 35095
iteration: 60; vars: 466101; clauses: 36246; decisions: 35261
iteration: 61; vars: 473605; clauses: 5713; decisions: 35463
iteration: 62; vars: 481109; clauses: 12907; decisions: 35614
iteration: 63; vars: 488613; clauses: 20093; decisions: 35935
iteration: 64; vars: 496117; clauses: 27577; decisions: 36364
iteration: 65; vars: 503621; clauses: 34605; decisions: 36730
iteration: 66; vars: 511125; clauses: 5662; decisions: 36845
iteration: 67; vars: 518629; clauses: 12318; decisions: 37070
iteration: 68; vars: 526133; clauses: 19122; decisions: 37673
iteration: 69; vars: 533637; clauses: 26780; decisions: 37763
iteration: 70; vars: 541141; clauses: 33750; decisions: 38188
iteration: 71; vars: 548645; clauses: 41254; decisions: 38553
iteration: 72; vars: 556149; clauses: 49180; decisions: 39918
finished solver loop. fail_count = 0
key=0001110111000000000001010100111000011101000001101111101010000001100111001000011110010000010111101001101111101101010011010111110011111000011011011101001010001011001110110101111010010100110101110111010101001011011101110100011111010000001010101101101110010111001110111010101000001111110111100111111110011000011010010010010110000011111100010010001000010101
iteration=72; backbones_count=0; cube_count=1409790; cpu_time=3.77739; maxrss=35.6133
