inputs=39 keys=70 outputs=3 gates=720
iteration: 1; vars: 4463; clauses: 2305; decisions: 3093
iteration: 2; vars: 5887; clauses: 3615; decisions: 3338
iteration: 3; vars: 7311; clauses: 2755; decisions: 3602
iteration: 4; vars: 8735; clauses: 4051; decisions: 4229
iteration: 5; vars: 10159; clauses: 3287; decisions: 5122
iteration: 6; vars: 11583; clauses: 4583; decisions: 6517
iteration: 7; vars: 13007; clauses: 3831; decisions: 6901
iteration: 8; vars: 14431; clauses: 5117; decisions: 7283
iteration: 9; vars: 15855; clauses: 6403; decisions: 7869
iteration: 10; vars: 17279; clauses: 4647; decisions: 8777
iteration: 11; vars: 18703; clauses: 5933; decisions: 9074
iteration: 12; vars: 20127; clauses: 7147; decisions: 9361
iteration: 13; vars: 21551; clauses: 5443; decisions: 10274
iteration: 14; vars: 22975; clauses: 6563; decisions: 10556
iteration: 15; vars: 24399; clauses: 7693; decisions: 10990
iteration: 16; vars: 25823; clauses: 8823; decisions: 11331
iteration: 17; vars: 27247; clauses: 6595; decisions: 11963
iteration: 18; vars: 28671; clauses: 7701; decisions: 12201
iteration: 19; vars: 30095; clauses: 8807; decisions: 12524
iteration: 20; vars: 31519; clauses: 9913; decisions: 12849
iteration: 21; vars: 32943; clauses: 11019; decisions: 13177
iteration: 22; vars: 34367; clauses: 7887; decisions: 14402
iteration: 23; vars: 35791; clauses: 9001; decisions: 14708
iteration: 24; vars: 37215; clauses: 10115; decisions: 14887
iteration: 25; vars: 38639; clauses: 11229; decisions: 16807
iteration: 26; vars: 40063; clauses: 12337; decisions: 17243
iteration: 27; vars: 41487; clauses: 13435; decisions: 17661
iteration: 28; vars: 42911; clauses: 9327; decisions: 18015
iteration: 29; vars: 44335; clauses: 10441; decisions: 18439
iteration: 30; vars: 45759; clauses: 11555; decisions: 18814
iteration: 31; vars: 47183; clauses: 12669; decisions: 19200
iteration: 32; vars: 48607; clauses: 13783; decisions: 19590
iteration: 33; vars: 50031; clauses: 14897; decisions: 20364
iteration: 34; vars: 51455; clauses: 15977; decisions: 20795
iteration: 35; vars: 52879; clauses: 11015; decisions: 20980
iteration: 36; vars: 54303; clauses: 12085; decisions: 21238
iteration: 37; vars: 55727; clauses: 13155; decisions: 22045
iteration: 38; vars: 57151; clauses: 14291; decisions: 22201
iteration: 39; vars: 58575; clauses: 15427; decisions: 22698
iteration: 40; vars: 59999; clauses: 16563; decisions: 23502
iteration: 41; vars: 61423; clauses: 17693; decisions: 24348
iteration: 42; vars: 62847; clauses: 18823; decisions: 24550
iteration: 43; vars: 64271; clauses: 13367; decisions: 24733
iteration: 44; vars: 65695; clauses: 14497; decisions: 24892
iteration: 45; vars: 67119; clauses: 15617; decisions: 25663
iteration: 46; vars: 68543; clauses: 16737; decisions: 26471
iteration: 47; vars: 69967; clauses: 17909; decisions: 26682
iteration: 48; vars: 71391; clauses: 19045; decisions: 27062
iteration: 49; vars: 72815; clauses: 20119; decisions: 27556
iteration: 50; vars: 74239; clauses: 21387; decisions: 28057
