inputs=8 keys=272 outputs=63 gates=1406
iteration: 1; vars: 8484; clauses: 6745; decisions: 6020
iteration: 2; vars: 11064; clauses: 14449; decisions: 10033
iteration: 3; vars: 13644; clauses: 7224; decisions: 14252
iteration: 4; vars: 16224; clauses: 14864; decisions: 20738
iteration: 5; vars: 18804; clauses: 8378; decisions: 22603
iteration: 6; vars: 21384; clauses: 16010; decisions: 31097
iteration: 7; vars: 23964; clauses: 23642; decisions: 34531
iteration: 8; vars: 26544; clauses: 9439; decisions: 39459
iteration: 9; vars: 29124; clauses: 17067; decisions: 41924
iteration: 10; vars: 31704; clauses: 24688; decisions: 45081
iteration: 11; vars: 34284; clauses: 11501; decisions: 46974
iteration: 12; vars: 36864; clauses: 19117; decisions: 50268
iteration: 13; vars: 39444; clauses: 26726; decisions: 54041
iteration: 14; vars: 42024; clauses: 10824; decisions: 58187
iteration: 15; vars: 44604; clauses: 18422; decisions: 62534
iteration: 16; vars: 47184; clauses: 26015; decisions: 66035
iteration: 17; vars: 49764; clauses: 8258; decisions: 68608
iteration: 18; vars: 52344; clauses: 15786; decisions: 69973
iteration: 19; vars: 54924; clauses: 23312; decisions: 71642
iteration: 20; vars: 57504; clauses: 7329; decisions: 73166
iteration: 21; vars: 60084; clauses: 14825; decisions: 75014
iteration: 22; vars: 62664; clauses: 22321; decisions: 76700
iteration: 23; vars: 65244; clauses: 7658; decisions: 78725
iteration: 24; vars: 67824; clauses: 15150; decisions: 83348
iteration: 25; vars: 70404; clauses: 8052; decisions: 84349
iteration: 26; vars: 72984; clauses: 15540; decisions: 85358
iteration: 27; vars: 75564; clauses: 23028; decisions: 88355
iteration: 28; vars: 78144; clauses: 8625; decisions: 89262
iteration: 29; vars: 80724; clauses: 16105; decisions: 90734
iteration: 30; vars: 83304; clauses: 23585; decisions: 93709
iteration: 31; vars: 85884; clauses: 9054; decisions: 94848
iteration: 32; vars: 88464; clauses: 16526; decisions: 96716
iteration: 33; vars: 91044; clauses: 23997; decisions: 101185
iteration: 34; vars: 93624; clauses: 8725; decisions: 106521
iteration: 35; vars: 96204; clauses: 16175; decisions: 108304
iteration: 36; vars: 98784; clauses: 23625; decisions: 114111
iteration: 37; vars: 101364; clauses: 8425; decisions: 115946
iteration: 38; vars: 103944; clauses: 15871; decisions: 116371
iteration: 39; vars: 106524; clauses: 23317; decisions: 120713
iteration: 40; vars: 109104; clauses: 8447; decisions: 121294
iteration: 41; vars: 111684; clauses: 15893; decisions: 122438
iteration: 42; vars: 114264; clauses: 23335; decisions: 123085
iteration: 43; vars: 116844; clauses: 8216; decisions: 125107
iteration: 44; vars: 119424; clauses: 15656; decisions: 127151
iteration: 45; vars: 122004; clauses: 23098; decisions: 127582
iteration: 46; vars: 124584; clauses: 8485; decisions: 128187
iteration: 47; vars: 127164; clauses: 15927; decisions: 128955
iteration: 48; vars: 129744; clauses: 23369; decisions: 131174
iteration: 49; vars: 132324; clauses: 8814; decisions: 132455
iteration: 50; vars: 134904; clauses: 16236; decisions: 132887
iteration: 51; vars: 137484; clauses: 23658; decisions: 133192
iteration: 52; vars: 140064; clauses: 8735; decisions: 134242
iteration: 53; vars: 142644; clauses: 16157; decisions: 134718
iteration: 54; vars: 145224; clauses: 23571; decisions: 138186
iteration: 55; vars: 147804; clauses: 8785; decisions: 140001
iteration: 56; vars: 150384; clauses: 16199; decisions: 141582
iteration: 57; vars: 152964; clauses: 23613; decisions: 143965
iteration: 58; vars: 155544; clauses: 8821; decisions: 145054
iteration: 59; vars: 158124; clauses: 16219; decisions: 147625
iteration: 60; vars: 160704; clauses: 23617; decisions: 150975
iteration: 61; vars: 163284; clauses: 8806; decisions: 151581
iteration: 62; vars: 165864; clauses: 16193; decisions: 153267
iteration: 63; vars: 168444; clauses: 23581; decisions: 153672
iteration: 64; vars: 171024; clauses: 8680; decisions: 154906
iteration: 65; vars: 173604; clauses: 16058; decisions: 155671
iteration: 66; vars: 176184; clauses: 23435; decisions: 158537
iteration: 67; vars: 178764; clauses: 7422; decisions: 159789
iteration: 68; vars: 181344; clauses: 14800; decisions: 160405
iteration: 69; vars: 183924; clauses: 22176; decisions: 161613
iteration: 70; vars: 186504; clauses: 7473; decisions: 162886
iteration: 71; vars: 189084; clauses: 14849; decisions: 163136
