inputs=46 keys=137 outputs=45 gates=2046
iteration: 1; vars: 12440; clauses: 6218; decisions: 13695
iteration: 2; vars: 16434; clauses: 7876; decisions: 17120
iteration: 3; vars: 20428; clauses: 9526; decisions: 21475
iteration: 4; vars: 24422; clauses: 8371; decisions: 24568
iteration: 5; vars: 28416; clauses: 10029; decisions: 29535
iteration: 6; vars: 32410; clauses: 11671; decisions: 30835
iteration: 7; vars: 36404; clauses: 13313; decisions: 31086
iteration: 8; vars: 40398; clauses: 11482; decisions: 31337
iteration: 9; vars: 44392; clauses: 13124; decisions: 31589
iteration: 10; vars: 48386; clauses: 14766; decisions: 33381
iteration: 11; vars: 52380; clauses: 16408; decisions: 36603
iteration: 12; vars: 56374; clauses: 18050; decisions: 37040
iteration: 13; vars: 60368; clauses: 15490; decisions: 37282
iteration: 14; vars: 64362; clauses: 17132; decisions: 37525
iteration: 15; vars: 68356; clauses: 18774; decisions: 38175
iteration: 16; vars: 72350; clauses: 20416; decisions: 39266
iteration: 17; vars: 76344; clauses: 22058; decisions: 40590
iteration: 18; vars: 80338; clauses: 23700; decisions: 41704
iteration: 19; vars: 84332; clauses: 25342; decisions: 44300
iteration: 20; vars: 88326; clauses: 21125; decisions: 44558
iteration: 21; vars: 92320; clauses: 22767; decisions: 44814
iteration: 22; vars: 96314; clauses: 24409; decisions: 45071
iteration: 23; vars: 100308; clauses: 26051; decisions: 45851
iteration: 24; vars: 104302; clauses: 27693; decisions: 46503
iteration: 25; vars: 108296; clauses: 29335; decisions: 47989
iteration: 26; vars: 112290; clauses: 30977; decisions: 49530
iteration: 27; vars: 116284; clauses: 32619; decisions: 51576
iteration: 28; vars: 120278; clauses: 34261; decisions: 52704
iteration: 29; vars: 124272; clauses: 28901; decisions: 52972
iteration: 30; vars: 128266; clauses: 30543; decisions: 53241
iteration: 31; vars: 132260; clauses: 32185; decisions: 54379
iteration: 32; vars: 136254; clauses: 33835; decisions: 58665
iteration: 33; vars: 140248; clauses: 35477; decisions: 60076
iteration: 34; vars: 144242; clauses: 37117; decisions: 60321
iteration: 35; vars: 148236; clauses: 38757; decisions: 61033
iteration: 36; vars: 152230; clauses: 40397; decisions: 61933
iteration: 37; vars: 156224; clauses: 42037; decisions: 63058
iteration: 38; vars: 160218; clauses: 43677; decisions: 64087
iteration: 39; vars: 164212; clauses: 45317; decisions: 64870
iteration: 40; vars: 168206; clauses: 46957; decisions: 65854
iteration: 41; vars: 172200; clauses: 38736; decisions: 66103
iteration: 42; vars: 176194; clauses: 40376; decisions: 66352
iteration: 43; vars: 180188; clauses: 42016; decisions: 68977
iteration: 44; vars: 184182; clauses: 43656; decisions: 69379
iteration: 45; vars: 188176; clauses: 45295; decisions: 71479
iteration: 46; vars: 192170; clauses: 46935; decisions: 72191
iteration: 47; vars: 196164; clauses: 48575; decisions: 72855
iteration: 48; vars: 200158; clauses: 50215; decisions: 73480
iteration: 49; vars: 204152; clauses: 51855; decisions: 75013
iteration: 50; vars: 208146; clauses: 53495; decisions: 76706
iteration: 51; vars: 212140; clauses: 55135; decisions: 77131
iteration: 52; vars: 216134; clauses: 56775; decisions: 77535
iteration: 53; vars: 220128; clauses: 58415; decisions: 78039
iteration: 54; vars: 224122; clauses: 60071; decisions: 78977
iteration: 55; vars: 228116; clauses: 61727; decisions: 79259
iteration: 56; vars: 232110; clauses: 63383; decisions: 81020
iteration: 57; vars: 236104; clauses: 51965; decisions: 81268
iteration: 58; vars: 240098; clauses: 53621; decisions: 81515
iteration: 59; vars: 244092; clauses: 55277; decisions: 81764
iteration: 60; vars: 248086; clauses: 56933; decisions: 82492
iteration: 61; vars: 252080; clauses: 58589; decisions: 82997
iteration: 62; vars: 256074; clauses: 60245; decisions: 83997
iteration: 63; vars: 260068; clauses: 61901; decisions: 85732
iteration: 64; vars: 264062; clauses: 63557; decisions: 85978
iteration: 65; vars: 268056; clauses: 65213; decisions: 87483
iteration: 66; vars: 272050; clauses: 66869; decisions: 88023
iteration: 67; vars: 276044; clauses: 68525; decisions: 88530
iteration: 68; vars: 280038; clauses: 70181; decisions: 89043
iteration: 69; vars: 284032; clauses: 71837; decisions: 89522
iteration: 70; vars: 288026; clauses: 73493; decisions: 89987
iteration: 71; vars: 292020; clauses: 75149; decisions: 90444
iteration: 72; vars: 296014; clauses: 76805; decisions: 90888
iteration: 73; vars: 300008; clauses: 78461; decisions: 91328
iteration: 74; vars: 304002; clauses: 80117; decisions: 91747
iteration: 75; vars: 307996; clauses: 81773; decisions: 92151
iteration: 76; vars: 311990; clauses: 83429; decisions: 92546
iteration: 77; vars: 315984; clauses: 85085; decisions: 92929
iteration: 78; vars: 319978; clauses: 86741; decisions: 93416
iteration: 79; vars: 323972; clauses: 88389; decisions: 99253
iteration: 80; vars: 327966; clauses: 69804; decisions: 99496
iteration: 81; vars: 331960; clauses: 71460; decisions: 103949
iteration: 82; vars: 335954; clauses: 73116; decisions: 104486
iteration: 83; vars: 339948; clauses: 74772; decisions: 105099
iteration: 84; vars: 343942; clauses: 76428; decisions: 105614
iteration: 85; vars: 347936; clauses: 78076; decisions: 106520
