inputs=41 keys=217 outputs=35 gates=3820
iteration: 1; vars: 23047; clauses: 9448; decisions: 1847
iteration: 2; vars: 30535; clauses: 11097; decisions: 7782
iteration: 3; vars: 38023; clauses: 11248; decisions: 11985
iteration: 4; vars: 45511; clauses: 11127; decisions: 14580
iteration: 5; vars: 52999; clauses: 25185; decisions: 17093
iteration: 6; vars: 60487; clauses: 11294; decisions: 18080
iteration: 7; vars: 67975; clauses: 24866; decisions: 20393
iteration: 8; vars: 75463; clauses: 11795; decisions: 21609
iteration: 9; vars: 82951; clauses: 25399; decisions: 22799
iteration: 10; vars: 90439; clauses: 12277; decisions: 25767
iteration: 11; vars: 97927; clauses: 25797; decisions: 28701
iteration: 12; vars: 105415; clauses: 39249; decisions: 31888
iteration: 13; vars: 112903; clauses: 13424; decisions: 33949
iteration: 14; vars: 120391; clauses: 26920; decisions: 36502
iteration: 15; vars: 127879; clauses: 40188; decisions: 37044
iteration: 16; vars: 135367; clauses: 14339; decisions: 38966
iteration: 17; vars: 142855; clauses: 27929; decisions: 40089
iteration: 18; vars: 150343; clauses: 41595; decisions: 40561
iteration: 19; vars: 157831; clauses: 15053; decisions: 42237
iteration: 20; vars: 165319; clauses: 28787; decisions: 45322
iteration: 21; vars: 172807; clauses: 42253; decisions: 45707
iteration: 22; vars: 180295; clauses: 15723; decisions: 46610
iteration: 23; vars: 187783; clauses: 29099; decisions: 48219
iteration: 24; vars: 195271; clauses: 42572; decisions: 52422
iteration: 25; vars: 202759; clauses: 17247; decisions: 55509
iteration: 26; vars: 210247; clauses: 31195; decisions: 60464
iteration: 27; vars: 217735; clauses: 44639; decisions: 61206
iteration: 28; vars: 225223; clauses: 58159; decisions: 61588
iteration: 29; vars: 232711; clauses: 18354; decisions: 62427
iteration: 30; vars: 240199; clauses: 31474; decisions: 64031
iteration: 31; vars: 247687; clauses: 44608; decisions: 64446
iteration: 32; vars: 255175; clauses: 57880; decisions: 66136
iteration: 33; vars: 262663; clauses: 71152; decisions: 66614
iteration: 34; vars: 270151; clauses: 19601; decisions: 67709
iteration: 35; vars: 277639; clauses: 33347; decisions: 69055
iteration: 36; vars: 285127; clauses: 47185; decisions: 69463
iteration: 37; vars: 292615; clauses: 61055; decisions: 69873
iteration: 38; vars: 300103; clauses: 20606; decisions: 71964
iteration: 39; vars: 307591; clauses: 34327; decisions: 74589
iteration: 40; vars: 315079; clauses: 48119; decisions: 75022
iteration: 41; vars: 322567; clauses: 61911; decisions: 75398
iteration: 42; vars: 330055; clauses: 21579; decisions: 76153
iteration: 43; vars: 337543; clauses: 35559; decisions: 77331
iteration: 44; vars: 345031; clauses: 49543; decisions: 77742
iteration: 45; vars: 352519; clauses: 22333; decisions: 78792
iteration: 46; vars: 360007; clauses: 36359; decisions: 80565
iteration: 47; vars: 367495; clauses: 49799; decisions: 82872
iteration: 48; vars: 374983; clauses: 63253; decisions: 83826
iteration: 49; vars: 382471; clauses: 76529; decisions: 84214
iteration: 50; vars: 389959; clauses: 89843; decisions: 84606
iteration: 51; vars: 397447; clauses: 103133; decisions: 86070
iteration: 52; vars: 404935; clauses: 25450; decisions: 88169
iteration: 53; vars: 412423; clauses: 39246; decisions: 91326
iteration: 54; vars: 419911; clauses: 52824; decisions: 93857
iteration: 55; vars: 427399; clauses: 66720; decisions: 96029
iteration: 56; vars: 434887; clauses: 81090; decisions: 96611
iteration: 57; vars: 442375; clauses: 95356; decisions: 97073
iteration: 58; vars: 449863; clauses: 109730; decisions: 98667
iteration: 59; vars: 457351; clauses: 124104; decisions: 99473
iteration: 60; vars: 464839; clauses: 29701; decisions: 104303
iteration: 61; vars: 472327; clauses: 43515; decisions: 105736
iteration: 62; vars: 479815; clauses: 57257; decisions: 106102
iteration: 63; vars: 487303; clauses: 71041; decisions: 110322
iteration: 64; vars: 494791; clauses: 84831; decisions: 111416
iteration: 65; vars: 502279; clauses: 98791; decisions: 114276
iteration: 66; vars: 509767; clauses: 112751; decisions: 117414
iteration: 67; vars: 517255; clauses: 126169; decisions: 126151
iteration: 68; vars: 524743; clauses: 140021; decisions: 127023
iteration: 69; vars: 532231; clauses: 33137; decisions: 130696
iteration: 70; vars: 539719; clauses: 46163; decisions: 132015
iteration: 71; vars: 547207; clauses: 59227; decisions: 132411
iteration: 72; vars: 554695; clauses: 72285; decisions: 133708
iteration: 73; vars: 562183; clauses: 85337; decisions: 134228
iteration: 74; vars: 569671; clauses: 98385; decisions: 145848
iteration: 75; vars: 577159; clauses: 110657; decisions: 150099
iteration: 76; vars: 584647; clauses: 124267; decisions: 150581
iteration: 77; vars: 592135; clauses: 137803; decisions: 150973
iteration: 78; vars: 599623; clauses: 151415; decisions: 160435
iteration: 79; vars: 607111; clauses: 36732; decisions: 171466
iteration: 80; vars: 614599; clauses: 49844; decisions: 172464
iteration: 81; vars: 622087; clauses: 62942; decisions: 172809
iteration: 82; vars: 629575; clauses: 76080; decisions: 174107
iteration: 83; vars: 637063; clauses: 89152; decisions: 174751
iteration: 84; vars: 644551; clauses: 102290; decisions: 175148
iteration: 85; vars: 652039; clauses: 115362; decisions: 175553
iteration: 86; vars: 659527; clauses: 128510; decisions: 176768
iteration: 87; vars: 667015; clauses: 141894; decisions: 179011
iteration: 88; vars: 674503; clauses: 155571; decisions: 189260
iteration: 89; vars: 681991; clauses: 169471; decisions: 190938
iteration: 90; vars: 689479; clauses: 183371; decisions: 191993
iteration: 91; vars: 696967; clauses: 38944; decisions: 197459
iteration: 92; vars: 704455; clauses: 52776; decisions: 199324
iteration: 93; vars: 711943; clauses: 66666; decisions: 203166
iteration: 94; vars: 719431; clauses: 80670; decisions: 203550
iteration: 95; vars: 726919; clauses: 94684; decisions: 203935
iteration: 96; vars: 734407; clauses: 108754; decisions: 207045
iteration: 97; vars: 741895; clauses: 122006; decisions: 207837
iteration: 98; vars: 749383; clauses: 135258; decisions: 209781
iteration: 99; vars: 756871; clauses: 148510; decisions: 210303
iteration: 100; vars: 764359; clauses: 162580; decisions: 210851
iteration: 101; vars: 771847; clauses: 176832; decisions: 221106
iteration: 102; vars: 779335; clauses: 190542; decisions: 221544
iteration: 103; vars: 786823; clauses: 204196; decisions: 221992
iteration: 104; vars: 794311; clauses: 42302; decisions: 227820
iteration: 105; vars: 801799; clauses: 55278; decisions: 232741
iteration: 106; vars: 809287; clauses: 68438; decisions: 233085
iteration: 107; vars: 816775; clauses: 81678; decisions: 233430
iteration: 108; vars: 824263; clauses: 94932; decisions: 240361
iteration: 109; vars: 831751; clauses: 107550; decisions: 243412
iteration: 110; vars: 839239; clauses: 121294; decisions: 243805
iteration: 111; vars: 846727; clauses: 134986; decisions: 244208
iteration: 112; vars: 854215; clauses: 148730; decisions: 249278
iteration: 113; vars: 861703; clauses: 162634; decisions: 257180
iteration: 114; vars: 869191; clauses: 176924; decisions: 262621
iteration: 115; vars: 876679; clauses: 191102; decisions: 264848
iteration: 116; vars: 884167; clauses: 204802; decisions: 270764
iteration: 117; vars: 891655; clauses: 218310; decisions: 280816
iteration: 118; vars: 899143; clauses: 46331; decisions: 287416
iteration: 119; vars: 906631; clauses: 59819; decisions: 288815
iteration: 120; vars: 914119; clauses: 73313; decisions: 289144
iteration: 121; vars: 921607; clauses: 86807; decisions: 292827
iteration: 122; vars: 929095; clauses: 100625; decisions: 293164
iteration: 123; vars: 936583; clauses: 114523; decisions: 293502
iteration: 124; vars: 944071; clauses: 128327; decisions: 294742
iteration: 125; vars: 951559; clauses: 142131; decisions: 295784
iteration: 126; vars: 959047; clauses: 155937; decisions: 296569
iteration: 127; vars: 966535; clauses: 169719; decisions: 297531
iteration: 128; vars: 974023; clauses: 183659; decisions: 298767
iteration: 129; vars: 981511; clauses: 197100; decisions: 303984
iteration: 130; vars: 988999; clauses: 210702; decisions: 304457
iteration: 131; vars: 996487; clauses: 224102; decisions: 304937
iteration: 132; vars: 1003975; clauses: 237494; decisions: 305582
iteration: 133; vars: 1011463; clauses: 49001; decisions: 308661
iteration: 134; vars: 1018951; clauses: 62145; decisions: 309618
iteration: 135; vars: 1026439; clauses: 75289; decisions: 309941
iteration: 136; vars: 1033927; clauses: 88433; decisions: 310927
iteration: 137; vars: 1041415; clauses: 102297; decisions: 312441
iteration: 138; vars: 1048903; clauses: 116143; decisions: 312831
iteration: 139; vars: 1056391; clauses: 130197; decisions: 314200
iteration: 140; vars: 1063879; clauses: 144081; decisions: 315356
iteration: 141; vars: 1071367; clauses: 158045; decisions: 316487
iteration: 142; vars: 1078855; clauses: 172009; decisions: 320295
iteration: 143; vars: 1086343; clauses: 185495; decisions: 321196
iteration: 144; vars: 1093831; clauses: 198981; decisions: 321810
iteration: 145; vars: 1101319; clauses: 212252; decisions: 322604
iteration: 146; vars: 1108807; clauses: 225576; decisions: 323233
iteration: 147; vars: 1116295; clauses: 238980; decisions: 323878
iteration: 148; vars: 1123783; clauses: 252248; decisions: 324564
iteration: 149; vars: 1131271; clauses: 265516; decisions: 325330
iteration: 150; vars: 1138759; clauses: 53340; decisions: 328175
iteration: 151; vars: 1146247; clauses: 66488; decisions: 328490
iteration: 152; vars: 1153735; clauses: 79487; decisions: 333282
iteration: 153; vars: 1161223; clauses: 92653; decisions: 334173
iteration: 154; vars: 1168711; clauses: 105857; decisions: 334480
iteration: 155; vars: 1176199; clauses: 119141; decisions: 335464
iteration: 156; vars: 1183687; clauses: 132531; decisions: 336320
iteration: 157; vars: 1191175; clauses: 145699; decisions: 336694
iteration: 158; vars: 1198663; clauses: 158867; decisions: 337086
iteration: 159; vars: 1206151; clauses: 172111; decisions: 338148
iteration: 160; vars: 1213639; clauses: 185355; decisions: 340178
iteration: 161; vars: 1221127; clauses: 198821; decisions: 341010
iteration: 162; vars: 1228615; clauses: 212373; decisions: 343957
iteration: 163; vars: 1236103; clauses: 225937; decisions: 344615
iteration: 164; vars: 1243591; clauses: 239500; decisions: 345641
iteration: 165; vars: 1251079; clauses: 253064; decisions: 346205
iteration: 166; vars: 1258567; clauses: 266628; decisions: 347004
iteration: 167; vars: 1266055; clauses: 57725; decisions: 353324
iteration: 168; vars: 1273543; clauses: 71859; decisions: 354844
iteration: 169; vars: 1281031; clauses: 85955; decisions: 355227
iteration: 170; vars: 1288519; clauses: 100063; decisions: 355844
iteration: 171; vars: 1296007; clauses: 114183; decisions: 357767
iteration: 172; vars: 1303495; clauses: 128081; decisions: 358493
iteration: 173; vars: 1310983; clauses: 142031; decisions: 358999
iteration: 174; vars: 1318471; clauses: 155981; decisions: 359642
iteration: 175; vars: 1325959; clauses: 169915; decisions: 363991
iteration: 176; vars: 1333447; clauses: 184008; decisions: 374754
iteration: 177; vars: 1340935; clauses: 198110; decisions: 375052
iteration: 178; vars: 1348423; clauses: 212114; decisions: 375354
iteration: 179; vars: 1355911; clauses: 226086; decisions: 376160
iteration: 180; vars: 1363399; clauses: 239822; decisions: 376774
iteration: 181; vars: 1370887; clauses: 253586; decisions: 377421
iteration: 182; vars: 1378375; clauses: 267328; decisions: 378713
iteration: 183; vars: 1385863; clauses: 281070; decisions: 379226
iteration: 184; vars: 1393351; clauses: 294884; decisions: 380145
iteration: 185; vars: 1400839; clauses: 308376; decisions: 380897
